SMILES,Vol%,Exp. CN,Exp. YSI,Exp. LHV (MJ/kg),Exp. KV (cSt),Exp. CP (deg. C),Exp. FP (deg. C),Exp. BP (deg. C),Pred. CN,Pred. YSI,Pred. LHV (MJ/kg),Pred. KV (cSt),Pred. CP (deg. C),Pred. FP (deg. C),Pred. BP (deg. C),Abs. Err. CN,Abs. Err. YSI,Abs. Err. LHV (MJ/kg),Abs. Err. KV (cSt),Abs. Err. CP (deg. C),Abs. Err. FP (deg. C),Abs. Err. BP (deg. C)
CC1CCCC1,0.00332041331,17.2,50.3,-,0.5646,-,-23.0,-,19.601894,38.515812,43.976147,0.5289251,-2.5382826,-5.4783425,75.96883,2.40189437866211,11.784188079833982,-,0.0356748791694641,-,17.521657466888428,-
CC(=O)C,0.010886381530000001,-,13.0,-,0.3546,-,-20.0,-,16.561844,14.656081,29.159945,0.32268015,6.1322474,-22.30432,44.13991,-,1.656081199645996,-,0.03191985449790957,-,2.304319381713867,-
CC1C(=O)OC(C(=O)O1)C,0.0371871456,-,-,-,-,-,-,-,3.4377625,25.78295,18.443647,4.1978426,-6.5466385,79.91901,258.3854,-,-,-,-,-,-,-
CC1CCCC1=O,0.0195158938,-,-,-,-,-,-,-,13.774038,41.191093,34.595783,1.8528379,10.624779,36.364212,141.53017,-,-,-,-,-,-,-
CC(=O)CO,0.011663244800000002,-,-,-,-,-,-,-,1.802623,11.743161,20.087557,2.3536801,20.44793,50.089943,154.45845,-,-,-,-,-,-,-
COCC(=O)O,0.008731966,-,-,-,-,-,-,-,9.0148735,11.346907,13.719922,1.050809,-0.01591508,74.434845,167.22832,-,-,-,-,-,-,-
C1CCOC(C1)CO,0.01243936887,-,-,-,-,-,-,-,23.982254,30.688513,27.77777,5.6280813,13.587082,82.934,192.1176,-,-,-,-,-,-,-
CCCCC1=CC=C(O1)CCCC,0.04581247288,-,-,-,-,-,-,-,25.495373,161.46904,36.266422,1.7812833,4.7785287,77.189384,229.03647,-,-,-,-,-,-,-
C1=COC(=C1)C=O,0.0,13.9,-,-,1.1596,-,60.0,162.0,14.879296,38.178337,22.624048,2.178388,62.172264,59.419308,154.94205,0.9792963027954098,-,-,1.0187881187438965,-,0.5806922912597656,7.057952880859375
C1CC(OC1)CO,0.02332011301,17.9,-,-,-,-,75.0,178.0,19.993534,22.36329,26.132418,4.302826,1.1123761,79.262215,178.84743,2.093534088134767,-,-,-,-,4.262214660644531,0.8474273681640625
CC1=CC=C(O1)C=O,0.0006116648100000001,-,-,-,-,-,72.0,187.0,16.873257,51.07052,24.938883,3.2426503,75.06457,74.389656,181.95963,-,-,-,-,-,2.3896560668945312,5.040374755859375
CCC(=CC(=O)OC)CC,0.01647635225,-,-,-,-,-,-,-,10.640575,47.295826,31.24943,1.0519631,53.630672,69.858665,163.3016,-,-,-,-,-,-,-
CCC(=C(C)C)C(=O)C,0.01200812201,-,-,-,-,-,-,-,8.867658,49.55387,36.91225,0.8821805,37.335236,49.269096,140.77164,-,-,-,-,-,-,-
C1CC(OC1)C2CCOC2,0.05843595805,-,-,-,-,-,-,-,49.607418,39.096375,29.6956,2.0104625,2.4717824,64.66572,180.0133,-,-,-,-,-,-,-
C1CC(OC1)C2CCOC2,0.02270823122,-,-,-,-,-,-,-,49.607418,39.096375,29.6956,2.0104625,2.4717824,64.66572,180.0133,-,-,-,-,-,-,-
C1CC(OC1)C2CCOC2,0.06762028028,-,-,-,-,-,-,-,49.607418,39.096375,29.6956,2.0104625,2.4717824,64.66572,180.0133,-,-,-,-,-,-,-
C1C=CC(=O)O1,0.00321801662,-,-,-,-,-,101.0,212.0,6.804517,20.767704,20.930044,1.4890372,-4.1846333,38.078014,205.89456,-,-,-,-,-,62.9219856262207,6.105438232421875
CC1=C(C(=O)CC1)O,0.00774928382,-,-,-,-,-,-,-,8.601901,32.973843,25.86844,4.485555,39.672523,91.49576,226.54192,-,-,-,-,-,-,-
C1=CC=C(C=C1)C(=O)COC(=O)C2=CC=CC=C2O,0.05402374641,-,-,-,-,-,-,-,37.097225,293.40323,33.181225,6.95261,91.01298,189.37245,465.50543,-,-,-,-,-,-,-
COC1=CC=CC=C1O,0.015108235050000002,19.3,-,-,-,-,82.0,205.0,18.073599,80.393715,26.898687,5.298907,-5.9605904,93.38752,212.37138,1.2264011383056648,-,-,-,-,11.387519836425781,7.3713836669921875
CC1=CC(=C(C=C1)O)OC,0.07415892257000001,19.8,-,-,-,-,99.0,221.0,16.754543,122.33175,28.28113,5.8210955,9.112513,102.487206,224.50563,3.0454566955566413,-,-,-,-,3.4872055053710938,3.5056304931640625
CCC1=CC(=C(C=C1)O)OC,0.036937418890000004,19.6,-,-,-,-,-,-,17.026468,141.40865,29.315535,5.7343106,3.647784,105.78997,248.56302,2.5735317230224624,-,-,-,-,-,-
CC1=CC=C(C=C1)O,0.01000181024,-,-,-,6.8174,-,-,-,14.80281,133.95374,32.31268,6.512418,55.02689,112.739395,206.78308,-,-,-,0.30498220672607435,-,-,-
CCC=CCCCCC=O,0.01529449466,-,-,-,-,-,-,-,56.360363,66.86924,37.311928,1.1428442,5.585602,79.62163,179.88431,-,-,-,-,-,-,-
CCCC1=CC(=C(C=C1)O)OC,0.08784634678,18.0,-,-,-,-,-,-,18.55965,171.10522,30.13575,5.6296873,3.001609,106.71063,264.35956,0.5596504211425781,-,-,-,-,-,-
COC1=C(C=CC(=C1)CC=C)O,0.020231212909999997,-,-,-,-,-,112.0,-,17.463585,204.6052,29.75294,5.806789,8.442735,110.26233,280.35114,-,-,-,-,-,1.7376708984375,-
CCCC(C)C(=O)OCC,0.03020094147,-,-,-,-,-,-,-,11.945149,34.616184,31.725882,0.8924725,-5.6236744,39.69665,160.00903,-,-,-,-,-,-,-
COC1=C(C=C(C=C1)C=C)O,0.01744790117,-,-,-,-,-,-,-,16.212662,168.5442,28.773855,5.703438,37.434605,112.85763,254.93053,-,-,-,-,-,-,-
O=C(OCC=CC)CCC(=O)OCC=CC,0.06376646607,-,-,-,-,-,-,-,22.381577,79.98138,25.87789,2.6823256,1.0276498,105.695206,285.8371,-,-,-,-,-,-,-
CC=CC1=CC(=C(C=C1)O)OC,0.0,-,-,-,-,-,112.0,266.0,15.799083,196.3288,29.75294,5.75945,10.808632,111.98165,271.33942,-,-,-,-,-,0.01834869384765625,5.33941650390625
CC(=C)C(=O)OC(=O)C(=C)C,0.0,-,-,-,-,-,-,-,3.191432,55.76472,24.262724,1.3546605,-3.3558505,76.53559,178.75792,-,-,-,-,-,-,-
CC(C)OCCCCO,0.07970321504,-,-,-,-,-,-,-,27.434595,27.483702,30.704576,3.5815928,36.744106,68.97592,162.28519,-,-,-,-,-,-,-
CC(=O)CC1=CC(=C(C=C1)O)OC,0.00767845385,-,-,-,-,-,-,-,26.286362,157.76128,26.366991,7.5860004,36.533825,133.91447,323.222,-,-,-,-,-,-,-
CC(=O)OC=C,0.015511006380000001,-,-,-,0.3902,-,-,-,8.102764,15.923538,22.715294,0.4721645,63.83213,-17.185158,65.45378,-,-,-,0.08196451168060304,-,-,-
CC(=O)CC1=CC(=C(C=C1)O)OC,0.01405950573,-,-,-,-,-,-,-,26.286362,157.76128,26.366991,7.5860004,36.533825,133.91447,323.222,-,-,-,-,-,-,-
CC1=CC(=C(C=C1)O)O,0.026171382150000002,-,-,-,-,-,-,-,17.80469,102.6124,26.849434,7.778267,11.281668,149.98622,267.84937,-,-,-,-,-,-,-
CCCCCCCCCCCCCCCC(=O)O,0.06434056663,-,-,-,-,-,-,-,74.47282,129.49211,36.52123,4.5366397,26.025314,153.1043,350.34036,-,-,-,-,-,-,-
COC1=C(C=CC(=C1)CC(=O)O)O,0.0,-,-,-,-,-,-,-,24.88036,127.572044,22.542639,10.71006,53.597248,164.15788,390.6288,-,-,-,-,-,-,-
CCCC(OCC(C)C)OCC(C)C,0.005813465140000001,-,-,-,-,-,-,-,76.3747,52.60211,34.984524,1.8304707,-9.570629,74.42132,211.08057,-,-,-,-,-,-,-
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,0.0,-,-,-,-,-,-,-,39.71664,207.71968,36.84531,1.6601001,90.05426,324.86853,937.50604,-,-,-,-,-,-,-
BLEND,-,-,-,-,-,-,-,-,28.233373606356764,97.30042844467809,29.715000082453802,3.04041685859026,34.740128077721096,92.66919210600896,234.27161472449473,-,-,-,-,-,-,-
