SMILES,Vol%,Exp. CN,Exp. YSI,Exp. LHV (MJ/kg),Exp. KV (cSt),Exp. CP (deg. C),Exp. FP (deg. C),Exp. BP (deg. C),Pred. CN,Pred. YSI,Pred. LHV (MJ/kg),Pred. KV (cSt),Pred. CP (deg. C),Pred. FP (deg. C),Pred. BP (deg. C),Abs. Err. CN,Abs. Err. YSI,Abs. Err. LHV (MJ/kg),Abs. Err. KV (cSt),Abs. Err. CP (deg. C),Abs. Err. FP (deg. C),Abs. Err. BP (deg. C)
CC(=O)C,0.00773225992,-,13.0,-,0.3546,-,-20.0,-,16.561844,14.656081,29.159945,0.32268015,6.1322474,-22.30432,44.13991,-,1.656081199645996,-,0.03191985449790957,-,2.304319381713867,-
CC(=O)CO,0.01603504573,-,-,-,-,-,-,-,1.802623,11.743161,20.087557,2.3536801,20.44793,50.089943,154.45845,-,-,-,-,-,-,-
COCC(=O)O,0.0,-,-,-,-,-,-,-,9.0148735,11.346907,13.719922,1.050809,-0.01591508,74.434845,167.22832,-,-,-,-,-,-,-
C1CC(=O)C=C1,0.0030657612000000002,-,-,-,-,-,-,-,12.649036,36.070873,31.304049,1.5876039,-7.8255615,23.520924,149.68872,-,-,-,-,-,-,-
CC1=CCCC1=O,0.00845505346,-,-,-,-,-,49.0,157.0,12.6639185,43.013943,32.89078,2.0113473,42.026024,45.63838,151.4644,-,-,-,-,-,3.361621856689453,5.5355987548828125
CCCCC1=CC=C(O1)CCCC,0.0442736525,-,-,-,-,-,-,-,25.495373,161.46904,36.266422,1.7812833,4.7785287,77.189384,229.03647,-,-,-,-,-,-,-
C1=COC(=C1)C=O,0.02595278074,13.9,-,-,1.1596,-,60.0,162.0,14.879296,38.178337,22.624048,2.178388,62.172264,59.419308,154.94205,0.9792963027954098,-,-,1.0187881187438965,-,0.5806922912597656,7.057952880859375
CC(=O)C1=CC=CO1,0.02117424814,-,-,-,-,-,-,-,13.629831,44.522743,25.46331,2.6534417,17.14943,53.250942,180.49173,-,-,-,-,-,-,-
CCC(=C(C)C)C(=O)C,0.02551678265,-,-,-,-,-,-,-,8.867658,49.55387,36.91225,0.8821805,37.335236,49.269096,140.77164,-,-,-,-,-,-,-
CCCCC(=O)O,0.01746282188,-,-,-,1.719,-,96.0,186.5,12.874936,26.077938,26.08019,1.9770042,23.59854,67.614395,185.80109,-,-,-,0.25800417041778556,-,28.385604858398438,0.69891357421875
C1CC(=O)OC1=O,0.07549800865,-,-,-,-,-,-,-,1.6072447,14.138322,13.880235,1.8151757,3.504892,64.31333,227.65468,-,-,-,-,-,-,-
C1CC(OC1)C2CCOC2,0.02992258193,-,-,-,-,-,-,-,49.607418,39.096375,29.6956,2.0104625,2.4717824,64.66572,180.0133,-,-,-,-,-,-,-
C1CC(=O)OC1,0.04478724904,-,-,-,-,-,-,-,5.623288,18.012455,22.081997,0.9810505,-5.672845,44.933315,192.76318,-,-,-,-,-,-,-
CCCCCC1OCCO1,0.00412559496,-,-,-,-,-,-,-,55.270557,38.772255,30.30409,1.3979366,14.857359,65.17493,173.22318,-,-,-,-,-,-,-
C1C=CC(=O)O1,0.00641716269,-,-,-,-,-,101.0,212.0,6.804517,20.767704,20.930044,1.4890372,-4.1846333,38.078014,205.89456,-,-,-,-,-,62.9219856262207,6.105438232421875
CC1=C(C(=O)CC1)O,0.01468710141,-,-,-,-,-,-,-,8.601901,32.973843,25.86844,4.485555,39.672523,91.49576,226.54192,-,-,-,-,-,-,-
C1=CC=C(C=C1)C(=O)COC(=O)C2=CC=CC=C2O,0.054856954289999996,-,-,-,-,-,-,-,37.097225,293.40323,33.181225,6.95261,91.01298,189.37245,465.50543,-,-,-,-,-,-,-
COC1=CC=CC=C1O,0.01422984824,19.3,-,-,-,-,82.0,205.0,18.073599,80.393715,26.898687,5.298907,-5.9605904,93.38752,212.37138,1.2264011383056648,-,-,-,-,11.387519836425781,7.3713836669921875
CC1=CC(=C(C=C1)O)OC,0.06832885492,19.8,-,-,-,-,99.0,221.0,16.754543,122.33175,28.28113,5.8210955,9.112513,102.487206,224.50563,3.0454566955566413,-,-,-,-,3.4872055053710938,3.5056304931640625
C1=CC=C(C=C1)O,0.00734164285,-,-,-,-,-,-,-,15.008813,85.77639,31.428099,4.3994827,4.025503,85.34291,197.76369,-,-,-,-,-,-,-
CCC1=CC(=C(C=C1)O)OC,0.02409163407,19.6,-,-,-,-,-,-,17.026468,141.40865,29.315535,5.7343106,3.647784,105.78997,248.56302,2.5735317230224624,-,-,-,-,-,-
CC1=CC=C(C=C1)O,0.01493533239,-,-,-,6.8174,-,-,-,14.80281,133.95374,32.31268,6.512418,55.02689,112.739395,206.78308,-,-,-,0.30498220672607435,-,-,-
